Acencao	Acenção
Adoracao	Adoração
Agata	Ágata
Alcantara	Alcântara
Alvares	Álvares
Alvaro	Álvaro
Andre	André
Angela	Ângela
Angelo	Ângelo
Annunciacao	Annunciação
Antonio	Antônio
Anunciacao	Anunciação
Araujo	Araújo
Ascencao	Ascenção
Assumpcao	Assumpção
Assuncao	Assunção
Avila	Ávila
Barbara	Bárbara
Bastos	Bastós
Bencao	Bênção
Benevides	Benevídes
Brandao	Brandão
Caceres	Cáceres
Camoes	Camões
Candido	Cândido
Carmen	Cármen
Cassio	Cássio
Celia	Célia
Cintia	Cíntia
Conceicao	Conceição
Consolacao	Consolação
Coracao	Coração
Cortes	Côrtes
Custodio	Custódio
D'Avila	D'Ávila
Damaso	Dâmaso
Dario	Dário
Dassumpcao	Dassumpção
Dassuncao	Dassunção
Davila	Dávila
Debora	Débora
Donacao	Donação
D’avila	D’ávila
Edson	Édson
Elcio	Élcio
Encarnacao	Encarnação
Erica	Érica
Erico	Érico
Espindola	Espíndola
Ester	Estér
Estevao	Estévão
Exaltacao	Exaltação
Exodo	Êxodo
Fabio	Fábio
Fabiola	Fabíola
Facao	Facão
Fagundez	Fagúndez
Fatima	Fátima
Felix	Félix
Figueiro	Figueiró
Fracao	Fração
Franciscao	Franciscão
Funcao	Função
Garcao	Garção
Glaucia	Gláucia
Goes	Góes
Gois	Góis
Guimaraes	Guimarães
Helio	Hélio
Heloisa	Heloísa
Icaro	Ícaro
Inacio	Inácio
Ines	Inês
Invencao	Invenção
Iris	Íris
Italo	Ítalo
Jacao	Jação
Jessica	Jéssica
Joao	João
Jose	José
Julia	Júlia
Julio	Júlio
Junior	Júnior
Lais	Laís
Leao	Leão
Lelia	Lélia
Livia	Lívia
Lobo	Lôbo
Lorencao	Lorenção
Lourencao	Lourenção
Lucia	Lúcia
Lucio	Lúcio
Luis	Luís
Magalhaes	Magalhães
Marcal	Marçal
Marcia	Márcia
Marcio	Márcio
Mario	Mário
Marquez	Márquez
Maximo	Máximo
Miriam	Míriam
Moncao	Monção
Monica	Mônica
Monico	Mônico
Muller	Müller
Munez	Múñez
Nacao	Nação
Natalia	Natália
Nelson	Nélson
Nivea	Nívea
Nobile	Nóbile
Nobrega	Nóbrega
Nunes	Nünes
Nunez	Nuñez
Olivencia	Olivência
Oller	Öller
Otavio	Otávio
Padua	Pádua
Paixao	Paixão
Pascoa	Páscoa
Patricia	Patrícia
Patricio	Patrício
Pecanha	Peçanha
Perez	Pérez
Povoacao	Povoação
Presentacao	Presentação
Purificacao	Purificação
Queiros	Queirós
Raissa	Raíssa
Ramon	Ramón
Regis	Régis
Rene	Renê
Ressurreicao	Ressurreição
Romulo	Rômulo
Rubia	Rúbia
Sa	Sá
Saez	Sáez
Sanchez	Sánchez
Santarem	Santarém
Sergio	Sérgio
Silvia	Sílvia
Sonia	Sônia
Tania	Tânia
Tavora	Távora
Thais	Thaís
Torres	Tôrres
Tulio	Túlio
Ursula	Úrsula
Ursulo	Úrsulo
Valerio	Valério
Vasquez	Vásquez
Vencio	Vêncio
Veronica	Verônica
Vinicius	Vinícius
Visitacao	Visitação
Vitor	Vítor
Vitoria	Vitória
Vulcao	Vulcão
Zarate	Zárate
Zefiro	Zéfiro
Zuniga	Zúñiga
